,token,trialID,positionID,surp,ispunct,prefix,prompt,stimID,second_list
0,Before,0,0,nan,False,1,1,1,permute
1, the,0,1,2.551027297973633,False,1,1,1,permute
2, meeting,0,2,5.753713607788086,False,1,1,1,permute
3,",",0,3,0.6362646222114563,True,1,1,1,permute
4, Mary,0,4,8.620794296264648,False,1,1,1,permute
5, wrote,0,5,6.034746170043945,False,1,1,1,permute
6, down,0,6,4.396554946899414,False,1,1,1,permute
7, the,0,7,1.3433159589767456,False,1,1,1,permute
8, following,0,8,4.053033351898193,False,1,1,1,permute
9, list,0,9,4.172577381134033,False,1,1,1,permute
10, of,0,10,0.18576112389564514,False,1,1,1,permute
11, words,0,11,6.043724060058594,False,1,1,1,permute
12,:,0,12,1.203829288482666,True,1,1,1,permute
13, apple,1,0,11.891356468200684,False,1,1,1,permute
14,",",1,1,0.8718227744102478,True,1,1,1,permute
15, spirit,1,2,8.66170883178711,False,1,1,1,permute
16,",",1,3,0.290663480758667,True,1,1,1,permute
17, music,1,4,6.879713535308838,False,1,1,1,permute
18,.,1,5,3.303957462310791,True,1,1,1,permute
19,After,2,0,10.37868881225586,False,1,1,1,permute
20, the,2,1,1.6957961320877075,False,1,1,1,permute
21, meeting,2,2,0.28643032908439636,False,1,1,1,permute
22,",",2,3,0.22760611772537231,True,1,1,1,permute
23, Mary,2,4,0.981864869594574,False,1,1,1,permute
24, read,2,5,3.888315200805664,False,1,1,1,permute
25, the,2,6,1.4589813947677612,False,1,1,1,permute
26, list,2,7,1.6560075283050537,False,1,1,1,permute
27, again,2,8,2.8630614280700684,False,1,1,1,permute
28,:,2,9,2.4765710830688477,True,1,1,1,permute
29, music,3,0,5.119448661804199,False,1,1,1,permute
30,",",3,1,0.22528569400310516,True,1,1,1,permute
31, apple,3,2,3.707704782485962,False,1,1,1,permute
32,",",3,3,0.15908434987068176,True,1,1,1,permute
33, spirit,3,4,0.4684067666530609,False,1,1,1,permute
34,.,3,5,2.0600171089172363,True,1,1,1,permute
0,Before,0,0,nan,False,1,1,2,permute
1, the,0,1,2.551027297973633,False,1,1,2,permute
2, meeting,0,2,5.753713607788086,False,1,1,2,permute
3,",",0,3,0.6362646222114563,True,1,1,2,permute
4, Mary,0,4,8.620794296264648,False,1,1,2,permute
5, wrote,0,5,6.034746170043945,False,1,1,2,permute
6, down,0,6,4.396554946899414,False,1,1,2,permute
7, the,0,7,1.3433159589767456,False,1,1,2,permute
8, following,0,8,4.053033351898193,False,1,1,2,permute
9, list,0,9,4.172577381134033,False,1,1,2,permute
10, of,0,10,0.18576112389564514,False,1,1,2,permute
11, words,0,11,6.043724060058594,False,1,1,2,permute
12,:,0,12,1.203829288482666,True,1,1,2,permute
13, forest,1,0,13.109850883483887,False,1,1,2,permute
14,",",1,1,0.6187539100646973,True,1,1,2,permute
15, ste,1,2,7.720037460327148,False,1,1,2,permute
16,amer,1,3,3.8406784534454346,False,1,1,2,permute
17,",",1,4,0.08285864442586899,True,1,1,2,permute
18, mixture,1,5,11.826083183288574,False,1,1,2,permute
19,.,1,6,4.823881149291992,True,1,1,2,permute
20,After,2,0,11.156400680541992,False,1,1,2,permute
21, the,2,1,1.7228394746780396,False,1,1,2,permute
22, meeting,2,2,0.2986510694026947,False,1,1,2,permute
23,",",2,3,0.2292991280555725,True,1,1,2,permute
24, Mary,2,4,0.9408303499221802,False,1,1,2,permute
25, read,2,5,3.9117989540100098,False,1,1,2,permute
26, the,2,6,1.4463183879852295,False,1,1,2,permute
27, list,2,7,1.76848304271698,False,1,1,2,permute
28, again,2,8,2.5908522605895996,False,1,1,2,permute
29,:,2,9,2.4504947662353516,True,1,1,2,permute
30, mixture,3,0,6.060366630554199,False,1,1,2,permute
31,",",3,1,0.5257611274719238,True,1,1,2,permute
32, forest,3,2,3.6591622829437256,False,1,1,2,permute
33,",",3,3,0.15944024920463562,True,1,1,2,permute
34, ste,3,4,0.71677166223526,False,1,1,2,permute
35,amer,3,5,0.01616162434220314,False,1,1,2,permute
36,.,3,6,1.484339952468872,True,1,1,2,permute
0,Before,0,0,nan,False,1,1,3,permute
1, the,0,1,2.551027297973633,False,1,1,3,permute
2, meeting,0,2,5.753713607788086,False,1,1,3,permute
3,",",0,3,0.6362646222114563,True,1,1,3,permute
4, Mary,0,4,8.620794296264648,False,1,1,3,permute
5, wrote,0,5,6.034746170043945,False,1,1,3,permute
6, down,0,6,4.396554946899414,False,1,1,3,permute
7, the,0,7,1.3433159589767456,False,1,1,3,permute
8, following,0,8,4.053033351898193,False,1,1,3,permute
9, list,0,9,4.172577381134033,False,1,1,3,permute
10, of,0,10,0.18576112389564514,False,1,1,3,permute
11, words,0,11,6.043724060058594,False,1,1,3,permute
12,:,0,12,1.203829288482666,True,1,1,3,permute
13, cherry,1,0,12.750994682312012,False,1,1,3,permute
14,",",1,1,1.0135329961776733,True,1,1,3,permute
15, mistress,1,2,10.1472806930542,False,1,1,3,permute
16,",",1,3,0.32650673389434814,True,1,1,3,permute
17, or,1,4,5.870065212249756,False,1,1,3,permute
18,chard,1,5,5.916743278503418,False,1,1,3,permute
19,.,1,6,2.773179769515991,True,1,1,3,permute
20,After,2,0,11.284686088562012,False,1,1,3,permute
21, the,2,1,1.5308613777160645,False,1,1,3,permute
22, meeting,2,2,0.2714228630065918,False,1,1,3,permute
23,",",2,3,0.27179738879203796,True,1,1,3,permute
24, Mary,2,4,0.7965477108955383,False,1,1,3,permute
25, read,2,5,3.905367851257324,False,1,1,3,permute
26, the,2,6,1.3768616914749146,False,1,1,3,permute
27, list,2,7,1.5803865194320679,False,1,1,3,permute
28, again,2,8,2.962521553039551,False,1,1,3,permute
29,:,2,9,2.5257248878479004,True,1,1,3,permute
30, or,3,0,6.245473861694336,False,1,1,3,permute
31,chard,3,1,0.08471037447452545,False,1,1,3,permute
32,",",3,2,0.30103135108947754,True,1,1,3,permute
33, cherry,3,3,5.359008312225342,False,1,1,3,permute
34,",",3,4,0.13085873425006866,True,1,1,3,permute
35, mistress,3,5,2.0669026374816895,False,1,1,3,permute
36,.,3,6,2.3913931846618652,True,1,1,3,permute
0,Before,0,0,nan,False,1,1,4,permute
1, the,0,1,2.551027297973633,False,1,1,4,permute
2, meeting,0,2,5.753713607788086,False,1,1,4,permute
3,",",0,3,0.6362646222114563,True,1,1,4,permute
4, Mary,0,4,8.620794296264648,False,1,1,4,permute
5, wrote,0,5,6.034746170043945,False,1,1,4,permute
6, down,0,6,4.396554946899414,False,1,1,4,permute
7, the,0,7,1.3433159589767456,False,1,1,4,permute
8, following,0,8,4.053033351898193,False,1,1,4,permute
9, list,0,9,4.172577381134033,False,1,1,4,permute
10, of,0,10,0.18576112389564514,False,1,1,4,permute
11, words,0,11,6.043724060058594,False,1,1,4,permute
12,:,0,12,1.203829288482666,True,1,1,4,permute
13, b,1,0,9.127692222595215,False,1,1,4,permute
14,erry,1,1,6.887408256530762,False,1,1,4,permute
